seq	len
SN:GCA_000981505.1	2418
SN:GCA_000987775.1	154
SN:GCA_001010915.1	2109
SN:GCA_001010915.2	2325
SN:GCA_000219125.1	412
SN:GCA_001013375.1	160
SN:GCA_000242675.1	1926
SN:GCA_001044745.1	1929
SN:GCA_000268145.1	922
SN:GCA_000960065.1	1947
SN:GCA_001045465.1	1935
SN:GCA_001045465.2	1884
SN:GCA_000234095.1	412
SN:GCA_001084885.1	154
SN:GCA_001039275.1	1926
SN:GCA_000018425.1	154
SN:GCA_001142305.1	2415
SN:GCA_000007085.1	154
SN:GCA_000968265.1	1914
SN:GCA_001020985.1	154
SN:GCA_000154825.1	1911
SN:GCA_001046795.1	1950
SN:GCA_000014925.1	2109
SN:GCA_000014925.2	2079
SN:GCA_000015485.1	2397
SN:GCA_000186465.1	151
SN:GCA_000209995.1	151
SN:GCA_000209995.2	160
SN:GCA_000982975.1	151
SN:GCA_000972985.1	1941
SN:GCA_000196535.1	2112
SN:GCA_000196535.2	2058
SN:GCA_001045435.1	1878
SN:GCA_001045435.2	151
SN:GCA_000012625.1	160
SN:GCA_001106265.1	154
SN:GCA_000972785.1	919
SN:GCA_000147355.1	2319
SN:GCA_001037495.1	154
SN:GCA_001098865.1	1929
SN:GCA_001098865.2	151
SN:GCA_000163095.1	154
SN:GCA_000970835.1	2130
SN:GCA_000970835.2	2412
SN:GCA_000972245.1	1929
SN:GCA_001029265.1	1923
SN:GCA_001044235.1	2028
SN:GCA_001045675.1	1917
SN:GCA_000972045.1	922
SN:GCA_000165905.1	2313
SN:GCA_000165905.2	2163
SN:GCA_000961885.1	2112
SN:GCA_000961885.2	1170
SN:GCA_000961885.3	2061
SN:GCA_000970005.1	154
SN:GCA_000166515.1	2418
SN:GCA_000025845.1	1941
SN:GCA_001119665.1	2145
SN:GCA_000349605.1	2088
SN:GCA_000349605.2	2109
SN:GCA_000220085.1	1947
SN:GCA_001161985.1	151
SN:GCA_000969835.1	1956
SN:GCA_000969835.2	1866
SN:GCA_000970225.1	154
SN:GCA_001027925.1	2610
SN:GCA_001027925.2	1914
SN:GCA_001027925.3	732
SN:GCA_000025945.1	1842
SN:GCA_000025945.2	2424
SN:GCA_001028775.1	910
SN:GCA_000969845.1	1866
SN:GCA_000969845.2	1956
SN:GCA_000967245.1	1962
SN:GCA_000019645.1	154
SN:GCA_000196315.1	1938
SN:GCA_000173875.1	889
SN:GCA_000956525.1	2112
SN:GCA_000956525.2	2079
SN:GCA_000159915.1	1908
SN:GCA_000973525.1	2421
SN:GCA_000278135.1	2058
SN:GCA_000278135.2	2433
SN:GCA_000019945.1	904
SN:GCA_001112405.1	151
SN:GCA_001112405.2	922
SN:GCA_000143725.1	1914
SN:GCA_001113365.1	1947
SN:GCA_000176495.1	2091
SN:GCA_000176495.2	2391
SN:GCA_000171555.1	1953
SN:GCA_000292245.1	154
SN:GCA_001042915.1	154
SN:GCA_000963275.1	1950
SN:GCA_001155165.1	151
SN:GCA_000970885.1	2052
SN:GCA_000964795.1	2394
SN:GCA_000963345.1	1950
SN:GCA_001144305.1	922
SN:GCA_001144305.2	150
SN:GCA_001144305.3	447
SN:GCA_000965085.1	2424
SN:GCA_000964085.1	925
SN:GCA_000974785.1	151
SN:GCA_000974785.2	1911
SN:GCA_000986785.1	1923
SN:GCA_000986785.2	1938
SN:GCA_000964995.1	1977
SN:GCA_000967265.1	2130
SN:GCA_000967265.2	2355
SN:GCA_000967545.1	922
SN:GCA_001134745.1	711
SN:GCA_001134745.2	151
SN:GCA_000970305.1	154
SN:GCA_000986985.1	2268
SN:GCA_000986985.2	2082
SN:GCA_001020415.1	2163
SN:GCA_001020415.2	2313
SN:GCA_001010355.1	154
SN:GCA_000270305.1	1920
SN:GCA_000270305.2	160
SN:GCA_000970345.1	910
SN:GCA_000973105.1	1953
SN:GCA_001006405.1	154
SN:GCA_001050655.1	154
SN:GCA_000175975.1	154
SN:GCA_001107345.1	151
SN:GCA_001107345.2	1929
SN:GCA_000020105.1	889
SN:GCA_000968315.1	1914
SN:GCA_001034065.1	922
SN:GCA_000186225.1	1878
SN:GCA_000186225.2	1974
SN:GCA_000161635.1	1929
SN:GCA_000017485.1	2310
SN:GCA_000161235.1	1929
SN:GCA_000962895.1	922
SN:GCA_000162755.1	922
SN:GCA_000314555.1	1920
SN:GCA_000243435.1	898
SN:GCA_000243435.2	904
SN:GCA_000252125.1	1863
SN:GCA_000252125.2	1944
SN:GCA_001095665.1	1929
SN:GCA_001095665.2	151
SN:GCA_001034475.1	922
SN:GCA_000967195.1	1965
SN:GCA_001179785.1	1932
SN:GCA_000969625.1	1926
SN:GCA_001007935.1	892
SN:GCA_001027725.1	1872
SN:GCA_001027725.2	1941
SN:GCA_000180015.1	154
SN:GCA_001021025.1	154
SN:GCA_000985875.1	154
SN:GCA_000985875.2	421
SN:GCA_001029855.1	1932
SN:GCA_000969445.1	154
SN:GCA_000300475.1	1929
SN:GCA_001010305.1	928
SN:GCA_000973625.1	2499
SN:GCA_001022135.1	922
SN:GCA_000965045.1	2427
SN:GCA_000297075.1	922
SN:GCA_000164375.1	922
SN:GCA_001014615.1	154
SN:GCA_000151085.1	1935
SN:GCA_000151085.2	1935
SN:GCA_001027185.1	2124
SN:GCA_001027185.2	2079
SN:GCA_001151845.1	151
SN:GCA_000015985.1	901
SN:GCA_000015985.2	424
SN:GCA_001126725.1	922
SN:GCA_001126725.2	1113
SN:GCA_000970735.1	1965
SN:GCA_000301135.1	1965
SN:GCA_000967845.1	922
SN:GCA_001017485.1	1923
SN:GCA_000278255.1	2430
SN:GCA_000278255.2	2079
SN:GCA_001115225.1	151
SN:GCA_000011185.1	1926
SN:GCA_001046895.1	2091
SN:GCA_001046895.2	2109
SN:GCA_000224745.1	1947
SN:GCA_000224745.2	151
SN:GCA_000176755.1	889
SN:GCA_000959925.1	1950
SN:GCA_000019705.1	1905
SN:GCA_000019705.2	1797
SN:GCA_000972865.1	922
SN:GCA_000965185.1	2424
SN:GCA_001044425.1	2121
SN:GCA_001044425.2	2061
SN:GCA_001044425.3	663
SN:GCA_000194135.1	2364
SN:GCA_001050555.1	2139
SN:GCA_001050555.2	2277
SN:GCA_000970245.1	154
SN:GCA_001165025.1	151
SN:GCA_000968575.1	154
SN:GCA_001029455.1	919
SN:GCA_000271405.1	1947
SN:GCA_001091225.1	154
SN:GCA_000265465.1	1848
SN:GCA_000265465.2	1950
SN:GCA_001051035.1	2430
SN:GCA_000970065.1	154
SN:GCA_000969905.1	154
SN:GCA_001171885.1	1947
SN:GCA_000187895.1	1938
SN:GCA_000187895.2	151
SN:GCA_000975275.1	916
SN:GCA_001022195.1	922
SN:GCA_000988205.1	2055
SN:GCA_001152565.1	154
SN:GCA_000013625.1	910
SN:GCA_001005455.1	852
SN:GCA_001005455.2	609
SN:GCA_001005455.3	549
SN:GCA_000960825.1	448
SN:GCA_000960825.2	910
SN:GCA_000965005.1	2427
SN:GCA_001021755.1	1950
SN:GCA_000219565.1	151
SN:GCA_001017125.1	1971
SN:GCA_000007105.1	154
SN:GCA_000007105.2	1983
SN:GCA_000737325.1	957
SN:GCA_000737325.2	1959
SN:GCA_000737325.3	154
SN:GCA_000154785.1	154
SN:GCA_001021405.1	154
SN:GCA_000257705.1	1914
SN:GCA_000257705.2	1914
SN:GCA_000050425.1	2397
SN:GCA_000970775.1	1965
SN:GCA_000973155.1	922
SN:GCA_000966975.1	2001
SN:GCA_000966975.2	1203
SN:GCA_000966975.3	2121
SN:GCA_000836695.1	1890
SN:GCA_000836695.2	154
SN:GCA_000148185.1	1029
SN:GCA_000148185.2	1950
SN:GCA_000965155.1	2424
SN:GCA_001094605.1	151
SN:GCA_001094605.2	153
SN:GCA_000970085.1	154
SN:GCA_000189395.1	1929
SN:GCA_000166415.1	1923
SN:GCA_000166415.2	1911
SN:GCA_000236625.1	2421
SN:GCA_000956505.1	2136
SN:GCA_000956505.2	2106
SN:GCA_001159045.1	151
SN:GCA_000218785.1	2418
SN:GCA_000273805.1	2322
SN:GCA_001083385.1	151
SN:GCA_000960025.1	1947
SN:GCA_001171305.1	151
SN:GCA_000174815.1	1962
SN:GCA_000963255.1	1947
SN:GCA_001026925.1	1953
SN:GCA_000971295.1	154
SN:GCA_000146305.1	154
SN:GCA_001006135.1	154
SN:GCA_000293725.1	1929
SN:GCA_000242315.1	312
SN:GCA_000242315.2	1566
SN:GCA_000242315.3	1911
SN:GCA_000974925.1	2028
SN:GCA_000987835.1	2316
SN:GCA_000969305.1	2433
SN:GCA_001120425.1	1929
SN:GCA_001120425.2	151
SN:GCA_001170885.1	1929
SN:GCA_000731025.1	916
SN:GCA_001040705.1	2010
SN:GCA_001017175.1	904
SN:GCA_001165905.1	151
SN:GCA_001165905.2	151
SN:GCA_001023515.1	907
SN:GCA_000235465.1	1908
SN:GCA_000222585.1	2421
SN:GCA_001028705.1	154
SN:GCA_000164985.1	1911
SN:GCA_001038225.1	922
SN:GCA_000187465.1	1947
SN:GCA_001005525.1	151
SN:GCA_001115185.1	154
SN:GCA_003268905.1	928
SN:GCA_004803395.1	922
SN:GCA_001983105.1	1941
SN:GCA_005786205.1	151
SN:GCA_900445325.1	1926
SN:GCA_900445325.2	1932
SN:GCA_900167065.1	154
SN:GCA_002197685.1	154
SN:GCA_002197685.2	1875
SN:GCA_003721905.1	922
SN:GCA_005144415.1	910
SN:GCA_003730115.1	898
SN:GCA_900096885.1	2037
SN:GCA_900096885.2	2070
SN:GCA_004120275.1	1950
SN:GCA_004120275.2	1029
SN:GCA_001725035.1	931
SN:GCA_001748465.1	1962
SN:GCA_900249745.1	949
SN:GCA_900231165.1	154
SN:GCA_900231165.2	2091
SN:GCA_005236885.1	1029
SN:GCA_005236885.2	1950
SN:GCA_002273005.1	154
SN:GCA_002553505.1	2055
SN:GCA_001725075.1	3228
SN:GCA_001726065.1	1926
SN:GCA_003258295.1	1998
SN:GCA_003258295.2	2106
SN:GCA_900176295.1	154
SN:GCA_900115435.1	1941
SN:GCA_900115435.2	424
SN:GCA_002006445.1	1908
SN:GCA_003264465.1	154
SN:GCA_003264465.2	2058
SN:GCA_900114355.1	154
SN:GCA_002005145.1	154
SN:GCA_001751825.1	1941
SN:GCA_005887125.1	154
SN:GCA_005217265.1	1929
SN:GCA_002266285.1	1926
SN:GCA_005785115.1	151
SN:GCA_003646365.1	2418
SN:GCA_003254705.1	151
SN:GCA_002582035.1	1929
SN:GCA_002840755.1	1926
SN:GCA_001866645.1	2085
SN:GCA_001866645.2	2124
SN:GCA_004328055.1	1860
SN:GCA_004328055.2	1938
SN:GCA_003208375.1	154
SN:GCA_003208375.2	433
SN:GCA_002217205.1	1938
SN:GCA_002217205.2	1854
SN:GCA_006370545.1	151
SN:GCA_005796135.1	2322
SN:GCA_004921915.1	2418
SN:GCA_002251835.1	1854
SN:GCA_002251835.2	1941
SN:GCA_002935135.1	922
SN:GCA_004024445.1	922
SN:GCA_001723155.1	1917
SN:GCA_900511635.1	922
SN:GCA_002968975.1	2415
SN:GCA_004921815.1	2418
SN:GCA_003812765.1	2076
SN:GCA_003812765.2	2361
SN:GCA_005049105.1	1959
SN:GCA_004001385.1	424
SN:GCA_004001385.2	2428
SN:GCA_003149045.1	1845
SN:GCA_003149045.2	1941
SN:GCA_001854305.1	949
SN:GCA_900091455.1	154
SN:GCA_900091455.2	2058
SN:GCA_003851585.1	154
SN:GCA_001724605.1	151
SN:GCA_003240615.1	2004
SN:GCA_003240615.2	2127
SN:GCA_002715585.1	2466
SN:GCA_003222455.1	1033
SN:GCA_004014255.1	609
SN:GCA_005046945.1	1920
SN:GCA_900660705.1	1929
SN:GCA_003696865.1	2523
SN:GCA_003576455.1	151
SN:GCA_003576455.2	1905
SN:GCA_003609605.1	1908
SN:GCA_001406155.1	1932
SN:GCA_005781675.1	922
SN:GCA_900103475.1	151
SN:GCA_900103475.2	424
SN:GCA_900108505.1	1956
SN:GCA_002162755.1	2418
SN:GCA_900509955.1	922
SN:GCA_001722155.1	922
SN:GCA_004296435.1	154
SN:GCA_003507655.1	1917
SN:GCA_001767195.1	1905
SN:GCA_001767195.2	970
SN:GCA_900099915.1	1944
SN:GCA_900099915.2	1866
SN:GCA_005781855.1	922
SN:GCA_002631725.1	1947
SN:GCA_005785405.1	151
SN:GCA_002561455.1	154
SN:GCA_900503555.1	922
SN:GCA_002219045.1	1965
SN:GCA_002269685.1	1950
SN:GCA_004104115.1	1941
SN:GCA_004922225.1	2418
SN:GCA_004166885.1	151
SN:GCA_900116565.1	1983
SN:GCA_900116565.2	1905
SN:GCA_001854865.1	154
SN:GCA_001854865.2	421
SN:GCA_001405675.1	151
SN:GCA_001405675.2	157
SN:GCA_002979655.1	2055
SN:GCA_002979655.2	2091
SN:GCA_004832195.1	922
SN:GCA_002771995.1	3156
SN:GCA_004921395.1	2418
SN:GCA_900176515.1	1980
SN:GCA_900176515.2	2052
SN:GCA_003242585.1	154
SN:GCA_003222685.1	154
SN:GCA_001697225.1	913
SN:GCA_002161515.1	1992
SN:GCA_002161515.2	151
SN:GCA_002276395.1	154
SN:GCA_001406295.1	1959
SN:GCA_001406295.2	160
SN:GCA_001888095.1	1905
SN:GCA_002842395.1	898
SN:GCA_900176355.1	1920
SN:GCA_900512985.1	922
SN:GCA_001766235.1	154
SN:GCA_003059445.1	2322
SN:GCA_001706735.1	151
SN:GCA_001866655.1	1923
SN:GCA_004334515.1	2139
SN:GCA_004334515.2	2319
SN:GCA_900110775.1	154
SN:GCA_003344925.1	1947
SN:GCA_003344925.2	1854
SN:GCA_900114135.1	154
SN:GCA_003258605.1	2112
SN:GCA_003258605.2	2007
SN:GCA_001746415.1	2121
SN:GCA_001746415.2	2190
SN:GCA_005796225.1	2088
SN:GCA_005796225.2	2109
SN:GCA_002161555.1	1956
SN:GCA_002161555.2	1866
SN:GCA_003668955.1	154
SN:GCA_003668955.2	1932
SN:GCA_002939885.1	154
SN:GCA_001707925.1	2427
SN:GCA_003468435.1	1932
SN:GCA_002292545.1	2034
SN:GCA_003384795.1	2124
SN:GCA_003384795.2	2085
SN:GCA_004134995.1	910
SN:GCA_005784585.1	151
SN:GCA_002975335.1	421
SN:GCA_002975335.2	151
SN:GCA_003477585.1	1926
SN:GCA_003477585.2	1926
SN:GCA_006351065.1	1956
SN:GCA_002710035.1	154
SN:GCA_003059265.1	2322
SN:GCA_003464595.1	1872
SN:GCA_003464595.2	1962
SN:GCA_001812225.1	889
SN:GCA_005781725.1	922
SN:GCA_005045445.1	922
SN:GCA_002902325.1	1932
SN:GCA_001458695.1	2472
SN:GCA_900514955.1	922
SN:GCA_005046485.1	922
SN:GCA_001723845.1	648
SN:GCA_001723845.2	154
SN:GCA_001723845.3	154
SN:GCA_001405775.1	1866
SN:GCA_001405775.2	1956
SN:GCA_004332115.1	427
SN:GCA_002833385.1	1941
SN:GCA_002711125.1	1860
SN:GCA_002711125.2	1944
SN:GCA_900156285.1	1923
SN:GCA_900156285.2	1917
SN:GCA_004333265.1	2319
SN:GCA_004333265.2	2139
SN:GCA_004366135.1	154
SN:GCA_004366135.2	2016
SN:GCA_900105065.1	2076
SN:GCA_900105065.2	154
SN:GCA_001405295.1	1938
SN:GCA_001871905.1	154
SN:GCA_001871905.2	463
SN:GCA_004023125.1	154
SN:GCA_001940315.1	1923
SN:GCA_001940315.2	1914
SN:GCA_005885815.1	934
SN:GCA_002940065.1	154
SN:GCA_001757835.1	154
SN:GCA_002693695.1	922
SN:GCA_001856095.1	916
SN:GCA_900514915.1	922
SN:GCA_900512795.1	922
SN:GCA_001405555.1	151
SN:GCA_001405555.2	418
SN:GCA_005862065.1	1935
SN:GCA_001885615.1	1935
SN:GCA_001720685.1	151
SN:GCA_004341055.1	2124
SN:GCA_004341055.2	2070
SN:GCA_003752065.1	2103
SN:GCA_003752065.2	2082
SN:GCA_004803635.1	925
SN:GCA_001729315.1	154
SN:GCA_001729315.2	2064
SN:GCA_003612015.1	916
SN:GCA_900217795.1	1929
SN:GCA_002959815.1	1902
SN:GCA_003610215.1	436
SN:GCA_003610215.2	154
SN:GCA_001686675.1	2028
SN:GCA_001405475.1	1935
SN:GCA_001405475.2	151
SN:GCA_003105155.1	922
SN:GCA_003289925.1	1929
SN:GCA_900114205.1	2421
SN:GCA_002160355.1	1944
SN:GCA_002160355.2	1995
SN:GCA_900177315.1	154
SN:GCA_002563755.1	910
SN:GCA_001709345.1	922
SN:GCA_002707945.1	1947
SN:GCA_001758545.1	910
SN:GCA_005518585.1	922
SN:GCA_002379365.1	1914
SN:GCA_900509145.1	922
SN:GCA_006151625.1	154
SN:GCA_003602635.1	424
SN:GCA_001815865.1	1923
SN:GCA_005040245.1	922
SN:GCA_001751265.1	2124
SN:GCA_001751265.2	2106
SN:GCA_003967555.1	1998
SN:GCA_003967555.2	2097
SN:GCA_004282585.1	922
SN:GCA_006351495.1	922
SN:GCA_003058965.1	2322
SN:GCA_001898385.1	1929
SN:GCA_001898385.2	154
SN:GCA_003849695.1	910
SN:GCA_003849695.2	774
SN:GCA_002568625.1	2046
SN:GCA_002568625.2	1968
SN:GCA_001885315.1	1842
SN:GCA_001885315.2	1917
SN:GCA_004337505.1	151
SN:GCA_004337505.2	1920
SN:GCA_006120775.1	919
SN:GCA_001999325.1	2430
SN:GCA_001702295.1	922
SN:GCA_900497695.1	154
SN:GCA_002218975.1	1965
SN:GCA_001804315.1	2511
SN:GCA_006225735.1	889
SN:GCA_002162315.1	2313
SN:GCA_003964645.1	154
SN:GCA_003538355.1	154
SN:GCA_002173075.1	154
SN:GCA_005782005.1	922
SN:GCA_004291765.1	922
SN:GCA_005403365.1	154
SN:GCA_003663895.1	2085
SN:GCA_003663895.2	2124
SN:GCA_003853705.1	910
SN:GCA_001725095.1	2553
SN:GCA_002870665.1	1938
SN:GCA_001404615.1	412
SN:GCA_003447335.1	1935
SN:GCA_900187045.1	2097
SN:GCA_900187045.2	448
SN:GCA_000826845.1	154
SN:GCA_900485295.1	922
SN:GCA_001721645.1	1941
SN:GCA_001721645.2	1995
SN:GCA_002165855.1	2310
SN:GCA_004021495.1	154
SN:GCA_002026675.1	2322
SN:GCA_003994875.1	2322
SN:GCA_900115345.1	3429
SN:GCA_900115345.2	585
SN:GCA_900115345.3	1968
SN:GCA_900143515.1	2058
SN:GCA_900143515.2	154
SN:GCA_900107755.1	154
SN:GCA_003363055.1	922
SN:GCA_005784705.1	151
SN:GCA_900107885.1	919
SN:GCA_900451105.1	60
SN:GCA_900451105.2	1452
SN:GCA_900451105.3	153
SN:GCA_900169165.1	2112
SN:GCA_900169165.2	1998
SN:GCA_004195935.1	2124
SN:GCA_004195935.2	2106
SN:GCA_005518305.1	922
SN:GCA_900101395.1	1908
SN:GCA_900101395.2	151
SN:GCA_000091085.1	1809
SN:GCA_000091085.2	2418
SN:GCA_004342025.1	2085
SN:GCA_004342025.2	2037
SN:GCA_004342025.3	621
SN:GCA_003367235.1	433
SN:GCA_003367235.2	2547
SN:GCA_005047465.1	1935
SN:GCA_003260025.1	154
SN:GCA_003260025.2	2073
SN:GCA_002898175.1	1758
SN:GCA_900496045.1	151
SN:GCA_001996285.1	1923
SN:GCA_900100525.1	2073
SN:GCA_900100525.2	2067
SN:GCA_003843855.1	2430
SN:GCA_005116735.1	154
SN:GCA_003259365.1	2073
SN:GCA_003259365.2	684
SN:GCA_003259365.3	2124
SN:GCA_003521085.1	1932
SN:GCA_002281975.1	898
SN:GCA_003207955.1	154
SN:GCA_003207955.2	424
SN:GCA_900166965.1	922
SN:GCA_003466285.1	157
SN:GCA_003466285.2	151
SN:GCA_900176005.1	1911
SN:GCA_002553495.1	2013
SN:GCA_900444815.1	151
SN:GCA_006151975.1	2064
SN:GCA_006151975.2	2076
SN:GCA_005782165.1	922
SN:GCA_003963135.1	1983
SN:GCA_002551005.1	1929
SN:GCA_003955715.1	2064
SN:GCA_003955715.2	2124
SN:GCA_900510855.1	922
SN:GCA_003104975.1	931
SN:GCA_003543235.1	1980
SN:GCA_003543235.2	1902
SN:GCA_005888175.1	2421
SN:GCA_003429285.1	2424
SN:GCA_900509405.1	922
SN:GCA_001915605.1	1878
SN:GCA_001915605.2	1965
SN:GCA_003789135.1	922
SN:GCA_004173255.1	591
SN:GCA_004173255.2	1983
SN:GCA_003795035.1	922
SN:GCA_003612345.1	1926
SN:GCA_002104865.1	1179
SN:GCA_002104865.2	2127
SN:GCA_002104865.3	2073
SN:GCA_003968735.1	1944
SN:GCA_003968735.2	1863
SN:GCA_003466385.1	1968
SN:GCA_900155985.1	1941
SN:GCA_900692785.1	151
SN:GCA_003437715.1	2139
SN:GCA_003437715.2	2316
SN:GCA_003918765.1	922
SN:GCA_003999735.1	1938
SN:GCA_002870675.1	1938
SN:GCA_003351765.1	2112
SN:GCA_003351765.2	2100
SN:GCA_003461495.1	1929
SN:GCA_900449795.1	922
SN:GCA_001837905.1	1950
SN:GCA_900637115.1	2031
SN:GCA_003997905.1	154
SN:GCA_002561125.1	1923
SN:GCA_004798185.1	922
SN:GCA_006088735.1	922
SN:GCA_004359045.1	2028
SN:GCA_004359045.2	1914
SN:GCA_900608175.1	922
SN:GCA_002218065.1	1938
SN:GCA_006334715.1	154
SN:GCA_001922325.1	154
SN:GCA_900091545.1	2247
SN:GCA_900091545.2	1947
SN:GCA_003626975.1	922
SN:GCA_002162095.1	2055
SN:GCA_002844535.1	1926
SN:GCA_001940485.1	922
SN:GCA_003644525.1	2358
SN:GCA_005236035.1	1029
SN:GCA_005236035.2	1950
SN:GCA_006376335.1	151
SN:GCA_003839645.1	1956
SN:GCA_003386135.1	2118
SN:GCA_003386135.2	2028
SN:GCA_002929035.1	154
SN:GCA_003444685.1	154
SN:GCA_001969365.1	1948
SN:GCA_001969365.2	154
SN:GCA_900112605.1	922
SN:GCA_003994465.1	1911
SN:GCA_002104855.1	2085
SN:GCA_002104855.2	2124
SN:GCA_002832985.1	2139
SN:GCA_002832985.2	2316
SN:GCA_003269065.1	928
SN:GCA_002899895.1	1935
SN:GCA_002899895.2	1890
SN:GCA_900129935.1	154
SN:GCA_003208575.1	1968
SN:GCA_001915545.1	1962
SN:GCA_001915545.2	1977
SN:GCA_004017945.1	154
SN:GCA_001975705.1	154
SN:GCA_003696235.1	2058
SN:GCA_003696235.2	2118
SN:GCA_003696235.3	660
SN:GCA_002861365.1	2100
SN:GCA_002018105.1	1920
SN:GCA_901296625.1	151
SN:GCA_900100805.1	2067
SN:GCA_900100805.2	2112
SN:GCA_003294925.1	154
SN:GCA_002287075.1	151
SN:GCA_900156825.1	1890
SN:GCA_900156825.2	151
SN:GCA_900502585.1	922
SN:GCA_900176335.1	2007
SN:GCA_900176335.2	1932
SN:GCA_003124025.1	2109
SN:GCA_003124025.2	2088
SN:GCA_004016615.1	154
SN:GCA_900109035.1	154
SN:GCA_900109355.1	154
SN:GCA_900109355.2	2067
SN:GCA_900508485.1	922
SN:GCA_900114455.1	154
SN:GCA_900172355.1	154
SN:GCA_004104075.1	1941
SN:GCA_006376145.1	1947
SN:GCA_001814995.1	2103
SN:GCA_001814995.2	2037
SN:GCA_002836515.1	154
SN:GCA_003345135.1	928
SN:GCA_002208865.1	922
SN:GCA_003770565.1	922
SN:GCA_900115235.1	154
SN:GCA_003061105.1	2109
SN:GCA_003061105.2	2091
SN:GCA_001953865.1	2052
SN:GCA_001953865.2	1968
SN:GCA_004922085.1	2418
SN:GCA_003635195.1	2517
SN:GCA_002721445.1	1941
SN:GCA_004801105.1	922
SN:GCA_002076095.1	2277
SN:GCA_002076095.2	2139
SN:GCA_002762425.1	151
SN:GCA_002762425.2	1947
SN:GCA_900452835.1	922
SN:GCA_003698995.1	154
SN:GCA_001770745.1	928
SN:GCA_900199385.1	154
SN:GCA_003387675.1	1932
SN:GCA_005863495.1	154
SN:GCA_003937805.1	154
SN:GCA_003874735.1	922
SN:GCA_004358765.1	2085
SN:GCA_004358765.2	2109
SN:GCA_001796335.1	154
SN:GCA_004136015.1	154
SN:GCA_003585675.1	2382
SN:GCA_003585675.2	1158
SN:GCA_001797465.1	928
SN:GCA_901269375.1	151
SN:GCA_002803145.1	2112
SN:GCA_002803145.2	1044
SN:GCA_002803145.3	1992
SN:GCA_001854065.1	2631
SN:GCA_002577165.1	1929
SN:GCA_900109735.1	922
SN:GCA_900508665.1	922
SN:GCA_001800975.1	1941
SN:GCA_001800975.2	1860
SN:GCA_002109605.1	922
SN:GCA_002568645.1	1929
SN:GCA_003486355.1	1938
SN:GCA_002797495.1	2064
SN:GCA_002797495.2	2025
SN:GCA_005863595.1	154
SN:GCA_003222555.1	1920
SN:GCA_001766635.1	2031
SN:GCA_003469145.1	2109
SN:GCA_003469145.2	2325
SN:GCA_003595215.1	154
SN:GCA_003595215.2	2061
SN:GCA_002897375.1	151
SN:GCA_004329075.1	1923
SN:GCA_003070825.1	1923
SN:GCA_003070825.2	1917
SN:GCA_004143925.1	979
SN:GCA_004143925.2	1878
SN:GCA_002101995.1	1023
SN:GCA_002101995.2	2028
SN:GCA_003316735.1	2316
SN:GCA_003633815.1	2427
SN:GCA_002094775.1	154
SN:GCA_002863625.1	2427
SN:GCA_003701315.1	154
SN:GCA_002304225.1	154
SN:GCA_003602995.1	151
SN:GCA_003602995.2	1935
SN:GCA_002781745.1	154
SN:GCA_000576125.1	1983
SN:GCA_000576125.2	154
SN:GCA_003858015.1	910
SN:GCA_004337595.1	151
SN:GCA_002869605.1	889
SN:GCA_003700305.1	922
SN:GCA_003047105.1	2439
SN:GCA_003047105.2	1977
SN:GCA_004341025.1	1161
SN:GCA_004341025.2	2073
SN:GCA_004341025.3	2124
SN:GCA_003063315.1	928
SN:GCA_002754515.1	2121
SN:GCA_002754515.2	2085
SN:GCA_001905655.1	1920
SN:GCA_001905655.2	2028
SN:GCA_900515855.1	922
SN:GCA_003490145.1	151
SN:GCA_003490145.2	160
SN:GCA_003726935.1	154
SN:GCA_003610535.1	1833
SN:GCA_003610535.2	151
SN:GCA_002878375.1	1905
SN:GCA_003241895.1	154
SN:GCA_003477995.1	151
SN:GCA_003477995.2	2025
SN:GCA_004802515.1	154
SN:GCA_900215185.1	154
SN:GCA_003315615.1	2301
SN:GCA_003315615.2	2106
SN:GCA_003046295.1	2004
SN:GCA_003046295.2	154
SN:GCA_001836905.1	2103
SN:GCA_001836905.2	2016
SN:GCA_001807075.1	2040
SN:GCA_002119625.1	1923
SN:GCA_003129565.1	901
SN:GCA_004923055.1	922
SN:GCA_901279915.1	151
SN:GCA_002393485.1	940
SN:GCA_002393485.2	154
SN:GCA_003347035.1	2085
SN:GCA_003347035.2	2022
SN:GCA_900111305.1	928
SN:GCA_002754315.1	1944
SN:GCA_002754315.2	1863
SN:GCA_002355855.1	433
SN:GCA_002355855.2	154
SN:GCA_004217115.1	1833
SN:GCA_004217115.2	1962
SN:GCA_003315635.1	2442
SN:GCA_003315635.2	2106
SN:GCA_002147415.1	1929
SN:GCA_003606365.1	1950
SN:GCA_900143075.1	1899
SN:GCA_900143075.2	421
SN:GCA_003535575.1	922
SN:GCA_002694745.1	2523
SN:GCA_002694745.2	433
SN:GCA_900114915.1	430
SN:GCA_900114915.2	151
SN:GCA_004016505.1	916
SN:GCA_003649765.1	1920
SN:GCA_003115855.1	922
SN:GCA_002555445.1	1926
SN:GCA_005887375.1	2418
SN:GCA_002865355.1	1938
SN:GCA_003468995.1	151
SN:GCA_003468995.2	1926
SN:GCA_005298085.1	151
SN:GCA_002850575.1	919
SN:GCA_003225465.1	2646
SN:GCA_005636115.1	922
SN:GCA_003463885.1	1965
SN:GCA_003463885.2	1302
SN:GCA_003463885.3	540
SN:GCA_003568565.1	1929
SN:GCA_900454305.1	2049
SN:GCA_003998145.1	154
SN:GCA_002715145.1	151
